date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
4/25/2021,50063.45667,50570.58333,46986.58,49087.43667,6472179071,0.00928703,2214.851667,2356.816667,2164.094,2320.928333,2060675369,0.03457266,-0.486622882,0.13378382,20.97463555,2398333.332,1.17728E+11,1060.163788,20736399.74,48127697694,8848.919915
4/24/2021,51146.75857,51176.412,48690.475,50062.775,6473356959,0.00227483,2368.1,2368.945,2156.005,2214.665,1995706448,0.0280168,-0.511700207,0.13138637,21.4471503,2397273.169,1.20014E+11,-501.5780641,20727550.82,45904581343,17689.68827
4/23/2021,51692.60833,52132.14167,47449.95,51147.01714,6499179231,0.00810704,2399.038333,2442.536667,2107.9,2367.971432,1999132672,0.04635265,0.664538975,0.12863126,22.09803088,2397774.747,1.22639E+11,16081.37665,20709861.13,49040359533,293331.2733
4/22/2021,53793.42667,55494.80833,50476.16333,51691.21,6776326168,0.01992893,2357.25,2644.626667,2303.598333,2398.99,2239327989,0.04329936,-0.427219819,0.13478186,22.46127372,2381693.37,1.23113E+11,11572.80514,20416529.86,48979050971,64635.85855
4/21/2021,56448.00167,56774.98167,53618.71,53792.65333,6973978090,0.00783829,2331.625,2469.461667,2236.308333,2357.248333,2234741361,0.03643899,-0.510490068,0.13684826,23.33284579,2370120.565,1.27495E+11,2902.26344,20351894,47974468218,-19593.56667
4/20/2021,55653.715,57088.83,53355.93167,56449.22,6915771783,0.0083189,2161.586667,2347.645,2051.276,2331.675,2202177095,0.029268,0.075374722,0.12997684,24.68570986,2367218.301,1.33628E+11,2219.952257,20371487.57,47499688278,-8533.786802
4/19/2021,56187.11,57556.045,54241.99833,55651.98167,6783046257,0.00508016,2237.188333,2279.88,2079.366667,2161.486667,2118899883,0.02631998,-0.486128708,0.12920175,24.61583769,2364998.349,1.31617E+11,-8835.615024,20380021.36,44051144427,25087.66952
4/18/2021,60027.04167,60391.59167,50638.26,56188.59667,7066165151,0.00032815,2317.611667,2339.705,1925.24,2237.258333,2248832512,-0.00280613,-0.361540825,0.13331465,24.81034773,2373833.964,1.33382E+11,-7592.841334,20354933.69,45539245014,-16681.56756
4/17/2021,61368.53667,62530.93,59613.21833,60026.07333,9071455899,0.03771319,2423.496667,2496.003333,2311.873333,2317.513333,2781118161,0.0465704,-0.543851847,0.16192538,26.64857653,2381426.805,1.42948E+11,-4035.283503,20371615.25,47211489973,-70336.25663
4/16/2021,63179.55167,63541.61667,60011.85667,61368.535,8938185106,0.05607891,2515.46,2547.558333,2300.703333,2423.573333,2772514173,0.06225595,-0.346114382,0.1549009,27.57394143,2385462.089,1.46392E+11,-2590.506824,20441951.51,49542568563,-50666.08321
